"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2094","Test Case 8: Verify All Products and product detail page @smoke","smoke","Tue Jul 29 20:36:35 UTC 2025","passed","Tue Jul 29 20:36:37 UTC 2025","","test-case-08-verify-all-products.spec.js","",""
"","2271","Test Case 7: Verify Test Cases Page @smoke","smoke","Tue Jul 29 20:36:35 UTC 2025","passed","Tue Jul 29 20:36:37 UTC 2025","","test-case-07-verify-test-cases-page.spec.js","",""
